unhealthy,healthy
all purpose flour,whole wheat flour
all-purpose flour,whole wheat flour
butter,olive oil
sugar,honey
white rice,brown rice
rice,brown rice
whole milk,skim milk
mayo,light mayo
mayonnaise,light mayonnaise
bacon,turkey bacon
pasta,whole-wheat pasta
sour cream,greek yogurt
chicken thighs,chicken breasts
canola oil,olive oil
sunflower oil,olive oil
vegetable oil,olive oil
bread crumbs,rolled oats
cream cheese,fat-free cream cheese
eggs,egg whites
couscous,quinoa
chocolate chips,cacao nibs
heavy cream,coconut milk
soy sauce,low-sodium soy sauce
white bread,whole-wheat bread
ground beef,ground turkey
spam,lite spam
yogurt,fat-free yogurt
greek yogurt,fat-free greek yogurt
ranch,light ranch
tortilla wraps,lettuce leaves
white wine,red wine
tonic water,soda water
potato chips,popcorn
